nohup: ignoring input
The following values were not passed to `accelerate launch` and had defaults used instead:
	`--num_machines` was set to a value of `1`
	`--dynamo_backend` was set to a value of `'no'`
To avoid this warning pass in values for each of the problematic parameters or run `accelerate config`.
Detected kernel version 5.4.210, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 33.99it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 28.30it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 28.25it/s]
[stage2] run initialized run_id=stage2_grpo_qwen3_4b_1gpu_20260821_152713 output_dir=/mnt/bn/fs-llm-train-v2/mlx/users/lijing/SIEVE/outputs/stage2-qwen3-4b run_dir=/mnt/bn/fs-llm-train-v2/mlx/users/lijing/SIEVE/outputs/stage2-qwen3-4b/runs/stage2_grpo_qwen3_4b_1gpu_20260821_152713
[stage2] iter=1/200 lr=8.333e-07 return=0.0000 score=0.0000 success=0.0000 parse=0.8485 reward_var=0.000000 policy_loss=0.000000 kl=0.000266 false_update=0.1250 stall=0.6250
[stage2] iter=2/200 lr=1.667e-06 return=0.1660 score=0.1397 success=0.0000 parse=1.0000 reward_var=0.051380 policy_loss=0.154750 kl=0.000268 false_update=0.0000 stall=0.6250
[stage2] iter=3/200 lr=2.500e-06 return=0.2213 score=0.1781 success=0.0000 parse=0.9375 reward_var=0.052961 policy_loss=0.123781 kl=0.004478 false_update=0.0000 stall=0.3750
[stage2] iter=4/200 lr=3.333e-06 return=0.1107 score=0.0312 success=0.0000 parse=1.0000 reward_var=0.037627 policy_loss=0.073257 kl=0.000852 false_update=0.0000 stall=0.7500
[stage2] iter=5/200 lr=4.167e-06 return=0.2733 score=0.1548 success=0.1250 parse=1.0000 reward_var=0.372840 policy_loss=-0.007553 kl=0.011215 false_update=0.1250 stall=0.7500
[stage2] iter=6/200 lr=5.000e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.002547 false_update=0.0000 stall=0.0000
[stage2] iter=7/200 lr=5.000e-06 return=0.3287 score=0.2024 success=0.1250 parse=1.0000 reward_var=0.406979 policy_loss=0.001600 kl=0.006279 false_update=0.0000 stall=0.6250
[stage2] iter=8/200 lr=4.999e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.008445 false_update=0.0000 stall=0.0000
[stage2] iter=9/200 lr=4.997e-06 return=0.3873 score=0.3578 success=0.0000 parse=1.0000 reward_var=0.043178 policy_loss=0.077862 kl=0.010180 false_update=0.0000 stall=0.1250
[stage2] iter=10/200 lr=4.995e-06 return=0.3873 score=0.3576 success=0.0000 parse=1.0000 reward_var=0.043432 policy_loss=0.095094 kl=0.010600 false_update=0.0000 stall=0.1250
[stage2] iter=11/200 lr=4.992e-06 return=0.3873 score=0.3573 success=0.0000 parse=1.0000 reward_var=0.043688 policy_loss=0.093761 kl=0.074847 false_update=0.0000 stall=0.1250
[stage2] iter=12/200 lr=4.988e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017248 false_update=0.0000 stall=0.0000
[stage2] iter=13/200 lr=4.984e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017931 false_update=0.0000 stall=0.0000
[stage2] iter=14/200 lr=4.979e-06 return=0.3873 score=0.3591 success=0.0000 parse=1.0000 reward_var=0.041915 policy_loss=0.092354 kl=0.174274 false_update=0.0000 stall=0.1250
[stage2] iter=15/200 lr=4.973e-06 return=0.4426 score=0.4426 success=0.0000 parse=1.0000 reward_var=0.000000 policy_loss=0.000000 kl=0.017621 false_update=0.0000 stall=0.0000
